House_ID,Neighborhood,Property_type,Rooms,Surface,Elevator,Floor_type,Floor_number,Outdoor_surface,Rent
103501,Cassia,Flat,2,65,0,Upper,2,130.27,900
105122,Collatino,Flat,2,30,1,Ground floor,0,222.69,500
104125,Collatino,Flat,3,80,1,Upper,4,436.01,950
104675,Infernetto,Flat,3,75,0,Upper,2,308.94,800
102481,Ostia,Flat,3,70,1,Ground floor,0,395.73,800
103133,Magliana,Flat,2,60,1,Upper,3,601.75,650
103095,Cassia,Flat,3,85,1,Upper,2,253.34,1150
104367,Prati,Flat,5,130,0,Upper,5,1024.27,2000
104969,Cinecittà,House,3,70,1,Upper,1,86.96,800
102566,Cinecittà,Flat,2,50,0,Ground floor,0,265.75,550
104696,Piazza Navona,Flat,2,60,1,Upper,2,555.00,1500
103742,Castelli Romani,Flat,4,95,1,Upper,3,527.77,1000
103705,Piazza Navona,Flat,3,60,1,Ground floor,0,569.53,1600
105117,Trastevere,Flat,2,65,0,Upper,1,625.56,1400
103961,Piazza Navona,Flat,3,65,1,Upper,6,491.45,1550
104144,Cinecittà,Flat,2,60,0,Upper,4,10.00,700
105578,Castelli Romani,Flat,5,65,1,Upper,1,312.62,700
103889,Piazza Navona,Flat,3,70,0,Upper,1,829.09,1500
103551,Piazza Navona,Flat,3,80,0,Upper,3,766.95,1650
105950,Montagnola,Flat,4,135,0,Upper,3,412.89,1350
102256,Monte sacro,Flat,3,85,1,Upper,7,398.96,1000
102771,Marconi,Flat,3,90,0,Upper,1,459.84,1000
103317,Prati,Flat,2,45,1,Upper,2,511.60,1000
104834,Marconi,Flat,2,50,0,Upper,5,133.03,750
102907,Infernetto,Flat,2,50,1,Upper,1,308.78,550
103932,Collatino,Flat,4,100,1,Upper,2,409.09,1000
104599,Monte sacro,Flat,2,60,1,Upper,7,303.62,850
105793,Cassia,Flat,3,65,0,Mezzanine,"0.5",389.44,1050
103616,Parioli,Flat,3,110,1,Upper,4,534.64,1500
105528,Collatino,Flat,3,80,1,Upper,5,231.84,850
105331,Monti,Flat,2,60,1,Upper,2,528.68,1000
105048,Cinecittà,Flat,2,65,1,Upper,1,305.88,750
103583,Prati,Flat,3,85,1,Upper,1,399.33,1200
103031,Infernetto,Flat,2,60,1,Upper,3,10.00,700
103343,Collatino,Flat,2,75,0,Upper,5,167.30,750
103180,Aventino,Flat,3,75,0,Upper,1,527.92,1450
105191,Parioli,Flat,4,105,1,Upper,3,460.93,1500
104664,Piazza Navona,Flat,5,100,0,Upper,4,687.92,1900
103624,Ostia,Flat,3,75,0,Upper,3,375.10,750
104608,Prati,Flat,2,40,1,Upper,1,244.12,750
105355,Trastevere,Flat,3,90,1,Upper,1,327.76,1350
