"vendita_sk","cliente_sk","prodotto_sk","data_sk","spedizione_sk","quantita","ordine_id","prezzo_unitario","sconto","ricavi"
1,825,8,2118,1,1,1,"1163.68","15.00","989.13"
2,825,4,2118,1,1,1,"855.56","15.00","727.23"
3,825,22,2118,1,1,1,"70.60","10.00","63.54"
4,3463,27,1931,2,1,2,"1315.30","0.00","1315.30"
5,9523,17,1846,3,1,3,"632.68","5.00","601.05"
6,9523,10,1846,3,1,3,"853.01","0.00","853.01"
7,9523,33,1846,3,1,3,"73.31","0.00","73.31"
8,18351,21,1494,4,1,4,"62.01","0.00","62.01"
9,18351,5,1494,4,1,4,"1325.60","0.00","1325.60"
10,18351,12,1494,4,1,4,"1303.57","0.00","1303.57"
11,18351,25,1494,4,1,4,"835.67","0.00","835.67"
12,3932,33,1778,5,1,5,"73.31","0.00","73.31"
13,3932,7,1778,5,1,5,"407.07","0.00","407.07"
14,12980,3,1998,6,1,6,"1172.87","0.00","1172.87"
15,4266,10,2134,7,3,7,"853.01","10.00","2303.13"
16,6107,24,1731,8,1,8,"519.26","0.00","519.26"
17,6107,32,1731,8,1,8,"225.07","5.00","213.82"
18,10234,18,1853,9,1,9,"209.45","15.00","178.03"
19,17883,28,1544,10,1,10,"528.07","0.00","528.07"
20,13592,11,1886,11,1,11,"1158.25","0.00","1158.25"
21,13592,9,1886,11,1,11,"1425.18","0.00","1425.18"
22,19902,31,1935,12,2,12,"110.61","0.00","221.22"
23,19902,3,1935,12,2,12,"1172.87","0.00","2345.74"
24,19902,11,1935,12,1,12,"1158.25","0.00","1158.25"
25,19902,9,1935,12,1,12,"1425.18","0.00","1425.18"
26,18724,14,1484,13,3,13,"1113.24","10.00","3005.75"
27,18724,18,1484,13,1,13,"209.45","0.00","209.45"
28,18724,7,1484,13,1,13,"407.07","5.00","386.72"
29,17321,30,1946,14,2,14,"1484.42","0.00","2968.84"
30,17321,4,1946,14,1,14,"855.56","5.00","812.78"
31,1696,4,1587,15,1,15,"855.56","0.00","855.56"
32,1696,19,1587,15,1,15,"1143.41","5.00","1086.24"
33,17900,23,2115,16,2,16,"1284.93","5.00","2441.37"
34,17900,15,2115,16,1,16,"223.11","0.00","223.11"
35,17900,13,2115,16,1,16,"1104.74","0.00","1104.74"
36,16140,17,1653,17,1,17,"632.68","0.00","632.68"
37,16140,24,1653,17,1,17,"519.26","0.00","519.26"
38,9240,25,1775,18,1,18,"835.67","0.00","835.67"
39,9757,19,1474,19,2,19,"1143.41","5.00","2172.48"
40,9757,30,1474,19,2,19,"1484.42","5.00","2820.40"
41,9757,22,1474,19,1,19,"70.60","5.00","67.07"
42,12561,12,1679,20,1,20,"1303.57","5.00","1238.39"
43,12561,34,1679,20,1,20,"364.11","20.00","291.29"
44,12561,22,1679,20,2,20,"70.60","0.00","141.20"
45,15539,29,2098,21,1,21,"998.86","5.00","948.92"
46,15539,34,2098,21,1,21,"364.11","0.00","364.11"
47,15539,5,2098,21,1,21,"1325.60","5.00","1259.32"
48,9522,9,1533,22,1,22,"1425.18","0.00","1425.18"
49,9522,5,1533,22,1,22,"1325.60","0.00","1325.60"
50,9522,8,1533,22,1,22,"1163.68","15.00","989.13"
51,16199,13,1646,23,2,23,"1104.74","0.00","2209.48"
52,16199,33,1646,23,2,23,"73.31","0.00","146.62"
53,2815,9,2022,24,1,24,"1425.18","5.00","1353.92"
54,2815,2,2022,24,1,24,"445.08","5.00","422.83"
55,13639,21,1502,25,1,25,"62.01","0.00","62.01"
56,1401,1,1874,26,1,26,"859.64","0.00","859.64"
57,15852,31,1858,27,2,27,"110.61","5.00","210.16"
58,15852,19,1858,27,1,27,"1143.41","0.00","1143.41"
59,6501,30,1940,28,1,28,"1484.42","0.00","1484.42"
60,8390,28,1584,29,1,29,"528.07","5.00","501.67"
61,4263,31,2040,30,1,30,"110.61","0.00","110.61"
62,14340,31,1637,31,1,31,"110.61","5.00","105.08"
63,14340,5,1637,31,1,31,"1325.60","0.00","1325.60"
64,1155,27,2101,32,1,32,"1315.30","0.00","1315.30"
65,2953,15,1907,33,1,33,"223.11","0.00","223.11"
66,11412,24,1890,34,1,34,"519.26","10.00","467.33"
67,11412,10,1890,34,1,34,"853.01","0.00","853.01"
68,11412,21,1890,34,1,34,"62.01","15.00","52.71"
69,11412,35,1890,34,1,34,"1082.98","5.00","1028.83"
70,11412,29,1890,34,1,34,"998.86","0.00","998.86"
71,15115,5,1724,35,1,35,"1325.60","5.00","1259.32"
72,15115,12,1724,35,1,35,"1303.57","5.00","1238.39"
73,15115,25,1724,35,1,35,"835.67","5.00","793.89"
74,14464,3,1786,36,1,36,"1172.87","0.00","1172.87"
75,11754,33,1814,37,1,38,"73.31","5.00","69.64"
76,3543,13,2043,38,2,39,"1104.74","5.00","2099.01"
77,5246,21,1660,39,1,40,"62.01","0.00","62.01"
78,11815,3,2019,40,3,41,"1172.87","5.00","3342.68"
79,11815,31,2019,40,2,41,"110.61","0.00","221.22"
80,11815,6,2019,40,1,41,"1004.53","15.00","853.85"
81,15672,14,2095,41,1,42,"1113.24","0.00","1113.24"
82,15672,7,2095,41,1,42,"407.07","0.00","407.07"
83,14240,24,1547,42,1,43,"519.26","0.00","519.26"
84,12269,6,1664,43,1,44,"1004.53","15.00","853.85"
85,12269,31,1664,43,1,44,"110.61","5.00","105.08"
86,12269,28,1664,43,1,44,"528.07","5.00","501.67"
87,16065,13,1604,44,1,45,"1104.74","0.00","1104.74"
88,16065,1,1604,44,2,45,"859.64","0.00","1719.28"
89,16065,10,1604,44,2,45,"853.01","5.00","1620.72"
90,16314,27,1847,45,1,46,"1315.30","15.00","1118.01"
91,16346,3,1470,46,1,47,"1172.87","0.00","1172.87"
92,11090,1,1468,47,1,49,"859.64","0.00","859.64"
93,19482,28,1696,48,1,50,"528.07","0.00","528.07"
94,12587,16,1507,49,2,51,"246.85","0.00","493.70"
95,12587,15,1507,49,1,51,"223.11","0.00","223.11"
96,12587,20,1507,49,1,51,"922.14","15.00","783.82"
97,14104,5,1867,50,1,52,"1325.60","0.00","1325.60"
98,8025,11,1648,51,1,53,"1158.25","0.00","1158.25"
99,13655,28,1744,52,1,54,"528.07","0.00","528.07"
100,13655,11,1744,52,1,54,"1158.25","20.00","926.60"
101,13655,5,1744,52,1,54,"1325.60","0.00","1325.60"
102,13655,18,1744,52,1,54,"209.45","5.00","198.98"
103,14388,25,1821,53,1,55,"835.67","0.00","835.67"
