gender,SeniorCitizen,Partner,TG - 0-12 mesi,TG - 13-24 mesi,TG - 25-48 mesi,TG - >48 mesi,PhoneService,IS - DSL,IS - Fiber optic,IS - No,OS - No,OS - Yes,OS - No internet service,Contract - Month-to-month,Contract - One year,Contract - Two years,MonthlyCharges,MCB - Bassa,MCB - Media,MCB - Alta,TotalCharges
Male,0,Yes,0,0,0,1,Yes,1,0,0,1,0,0,0,0,1,77.11,0,0,1,5431.3
Female,0,No,0,0,0,1,Yes,1,0,0,1,0,0,0,1,0,61.03,0,1,0,2987.79
Male,0,Yes,0,0,0,1,Yes,0,1,0,1,0,0,0,1,0,72.09,0,1,0,4590.51
Male,0,Yes,0,0,0,1,Yes,1,0,0,1,0,0,0,1,0,61.81,0,1,0,3687.38
Male,0,Yes,0,1,0,0,Yes,1,0,0,0,1,0,0,1,0,37.56,1,0,0,550.53
Female,0,Yes,0,0,0,1,Yes,0,1,0,0,1,0,0,0,1,103.63,0,0,1,6658.65
Female,0,Yes,0,0,1,0,Yes,1,0,0,1,0,0,0,1,0,57.51,0,1,0,1858.64
Male,0,No,0,0,1,0,Yes,0,0,1,0,0,1,0,1,0,45.5,0,1,0,1131.75
Male,0,Yes,0,1,0,0,Yes,1,0,0,0,1,0,1,0,0,112.31,0,0,1,1743.43
Male,0,No,0,1,0,0,Yes,1,0,0,1,0,0,1,0,0,105.1,0,0,1,2201.66
Male,0,No,1,0,0,0,Yes,0,0,1,0,0,1,0,1,0,46.41,0,1,0,516.86
Female,0,No,0,0,0,1,Yes,0,0,1,0,0,1,1,0,0,30.69,1,0,0,1916.31
Male,0,Yes,0,0,0,1,Yes,1,0,0,0,1,0,0,1,0,85.78,0,0,1,4776.72
Female,1,Yes,0,0,1,0,Yes,1,0,0,1,0,0,1,0,0,86.15,0,0,1,2903.3
Male,0,Yes,0,0,1,0,Yes,1,0,0,1,0,0,0,1,0,84.67,0,0,1,2208.23
Female,1,Yes,0,0,1,0,Yes,1,0,0,0,1,0,0,1,0,113.43,0,0,1,3929.88
Male,0,No,0,1,0,0,Yes,0,0,1,0,0,1,1,0,0,41.33,0,1,0,766.97
Female,0,Yes,0,0,1,0,No,1,0,0,1,0,0,1,0,0,107.85,0,0,1,3469.51
Male,0,Yes,0,0,0,1,Yes,1,0,0,1,0,0,0,0,1,105.54,0,0,1,7272.24
Male,0,No,0,0,0,1,Yes,0,1,0,0,1,0,1,0,0,110.43,0,0,1,7589.16
Male,0,No,0,0,0,1,Yes,0,1,0,0,1,0,0,1,0,102.05,0,0,1,6558.33
Male,0,Yes,0,0,1,0,Yes,0,1,0,1,0,0,1,0,0,80.98,0,0,1,2289.88
Male,0,No,0,1,0,0,Yes,0,1,0,1,0,0,1,0,0,82.63,0,0,1,1337.89
Male,0,No,0,1,0,0,Yes,0,1,0,0,1,0,1,0,0,95.75,0,0,1,1705.94
Female,0,Yes,0,0,0,1,Yes,0,1,0,0,1,0,0,1,0,74.37,0,1,0,3836.49
Female,0,Yes,0,1,0,0,Yes,0,1,0,0,1,0,1,0,0,106.42,0,0,1,2413.84
Male,0,Yes,1,0,0,0,Yes,0,1,0,0,1,0,0,0,1,85.21,0,0,1,336.6
Female,0,No,0,1,0,0,Yes,1,0,0,0,1,0,1,0,0,23.55,1,0,0,534.81
Female,0,Yes,0,0,0,1,No,0,1,0,0,1,0,1,0,0,101.48,0,0,1,5868.6
Female,1,No,0,1,0,0,Yes,0,1,0,0,1,0,1,0,0,73.64,0,1,0,950.46
Female,0,Yes,1,0,0,0,Yes,1,0,0,1,0,0,0,0,1,80.64,0,0,1,161.55
Female,0,No,0,1,0,0,Yes,0,1,0,1,0,0,1,0,0,71.83,0,1,0,1636.43
Female,0,Yes,0,0,0,1,Yes,1,0,0,1,0,0,1,0,0,78.51,0,0,1,5490.37
Female,0,Yes,0,0,0,1,Yes,0,1,0,0,1,0,0,0,1,109.02,0,0,1,5414.85
Female,0,Yes,0,0,1,0,Yes,0,0,1,0,0,1,0,1,0,39.54,1,0,0,959.51
Male,0,Yes,1,0,0,0,Yes,1,0,0,0,1,0,1,0,0,84.75,0,0,1,250.2
Male,0,Yes,0,0,1,0,No,1,0,0,1,0,0,0,0,1,72.06,0,1,0,2645.82
Female,0,No,0,1,0,0,Yes,0,1,0,0,1,0,0,1,0,100.59,0,0,1,1442.05
Male,0,No,0,0,1,0,Yes,1,0,0,1,0,0,1,0,0,111.06,0,0,1,4596.61
Male,0,No,0,0,0,1,Yes,1,0,0,1,0,0,0,1,0,72.6,0,1,0,4724.47
Male,0,No,1,0,0,0,No,0,0,1,0,0,1,1,0,0,36.38,1,0,0,371.29
Male,0,No,0,0,1,0,Yes,0,1,0,1,0,0,0,0,1,73.66,0,1,0,2118.06
Male,0,No,0,0,0,1,No,0,0,1,0,0,1,0,0,1,22.51,1,0,0,1503.7
Female,0,Yes,0,1,0,0,Yes,0,1,0,0,1,0,0,0,1,107.03,0,0,1,1644.66
Male,0,No,0,1,0,0,Yes,0,1,0,1,0,0,0,0,1,95.02,0,0,1,1213.36
Female,0,No,1,0,0,0,Yes,1,0,0,1,0,0,1,0,0,47.98,0,1,0,151.08
Female,0,No,1,0,0,0,No,0,0,1,0,0,1,0,1,0,28.32,1,0,0,274.37
Female,0,Yes,0,1,0,0,No,0,0,1,0,0,1,0,1,0,29.29,1,0,0,513.55
Female,0,Yes,1,0,0,0,No,0,1,0,0,1,0,0,1,0,108.97,0,0,1,624.09
Male,0,No,0,1,0,0,Yes,0,1,0,1,0,0,0,0,1,72.86,0,1,0,903.31
